Id,Company,Product,TypeName,Price_euros
22,Lenovo,Legion Y520-15IKBN,Gaming,999.0
42,Dell,Inspiron 7577,Gaming,1499.0
48,Asus,Rog Strix,Gaming,1299.0
59,MSI,GS73VR 7RG,Gaming,2449.0
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,949.0
75,MSI,GL72M 7RDX,Gaming,1095.0
77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,949.0
87,Dell,Inspiron 7577,Gaming,1349.0
90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,1449.0
92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,699.0
95,Dell,Inspiron 7577,Gaming,1195.0
102,HP,Omen 15-ce007nv,Gaming,1249.0
111,MSI,GP62M 7REX,Gaming,1299.0
124,MSI,GS63VR 7RG,Gaming,2241.5
140,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,938.0
145,Lenovo,Legion Y520-15IKBN,Gaming,869.0
151,MSI,GE72MVR 7RG,Gaming,2029.0
153,Dell,Inspiron 5577,Gaming,1249.26
154,Dell,Inspiron 7567,Gaming,899.0
156,MSI,GE73VR 7RE,Gaming,1890.0
167,Lenovo,Legion Y520-15IKBN,Gaming,1079.0
169,MSI,GE63VR 7RE,Gaming,1799.0
171,Dell,Inspiron 5577,Gaming,1060.49
181,MSI,GT80S 6QF-074US,Gaming,2799.0
191,Lenovo,Legion Y520-15IKBN,Gaming,779.0
200,Razer,Blade Pro,Gaming,6099.0
202,HP,Omen 17-W295,Gaming,1379.0
