Id,Company,Product,TypeName,Price_euros
3,HP,250 G6,Notebook,575.0
6,Acer,Aspire 3,Notebook,400.0
11,HP,250 G6,Notebook,393.9
12,HP,250 G6,Notebook,344.99
14,Dell,Inspiron 3567,Notebook,498.9
17,Dell,Inspiron 3567,Notebook,745.0
19,Lenovo,IdeaPad 320-15IKB,Notebook,499.0
23,HP,255 G6,Notebook,258.0
26,Dell,Inspiron 3567,Notebook,418.64
28,Dell,Inspiron 5570,Notebook,800.0
30,HP,ProBook 470,Notebook,896.0
31,Chuwi,"LapBook 15.6""",Notebook,244.99
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,199.0
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,439.0
36,Lenovo,IdeaPad 120S-14IAP,Notebook,249.0
37,Acer,Aspire 3,Notebook,367.0
38,Dell,Inspiron 5770,Notebook,979.0
39,HP,250 G6,Notebook,488.69
40,HP,ProBook 450,Notebook,879.0
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,389.0
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,522.99
44,Acer,Aspire A515-51G,Notebook,682.0
47,Lenovo,IdeaPad 320-15ISK,Notebook,369.0
49,Dell,Inspiron 3567,Notebook,639.0
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,466.0
52,Acer,Aspire A515-51G,Notebook,841.0
53,HP,255 G6,Notebook,398.49
54,HP,ProBook 430,Notebook,1103.0
55,Acer,Aspire 3,Notebook,384.0
56,Dell,Inspiron 3576,Notebook,767.8
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,439.0
58,Asus,VivoBook Max,Notebook,586.19
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,415.0
61,Dell,Inspiron 5770,Notebook,1299.0
63,Lenovo,IdeaPad 520S-14IKB,Notebook,599.0
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,941.0
66,HP,250 G6,Notebook,690.0
68,HP,250 G6,Notebook,438.69
69,HP,Stream 14-AX040wm,Notebook,229.0
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,549.0
74,Dell,Inspiron 5570,Notebook,870.0
76,Acer,Aspire E5-475,Notebook,389.0
78,Lenovo,IdeaPad 320-15IKBN,Notebook,519.0
79,Dell,Inspiron 5570,Notebook,855.0
80,Acer,Aspire A515-51G-32MX,Notebook,530.0
81,HP,ProBook 470,Notebook,977.0
84,HP,ProBook 440,Notebook,860.0
85,Lenovo,IdeaPad 320-15AST,Notebook,399.0
86,Acer,Aspire 3,Notebook,395.0
89,HP,250 G6,Notebook,598.99
93,Acer,Aspire 5,Notebook,689.0
94,HP,Probook 430,Notebook,1197.0
98,Dell,Inspiron 3567,Notebook,599.9
99,Dell,Inspiron 3567,Notebook,485.0
100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,577.0
103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,719.0
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,349.0
105,Dell,Inspiron 3576,Notebook,647.0
108,HP,Pavilion 14-BK001nv,Notebook,659.0
109,Lenovo,Ideapad 310-15ISK,Notebook,414.9
112,Lenovo,Thinkpad T470,Notebook,1480.0
116,HP,Probook 440,Notebook,722.0
119,HP,Probook 440,Notebook,1084.0
120,Dell,Inspiron 7570,Notebook,1130.33
121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,564.0
122,Asus,VivoBook S15,Notebook,1118.0
123,Acer,Spin 3,Notebook,479.0
125,Lenovo,IdeaPad 320-15IKBN,Notebook,629.0
126,HP,Probook 470,Notebook,1271.0
127,Acer,Aspire 3,Notebook,451.0
128,HP,250 G6,Notebook,259.0
129,HP,Probook 440,Notebook,812.0
130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,277.99
131,Dell,Inspiron 5770,Notebook,1396.0
132,HP,ProBook 470,Notebook,928.0
133,Dell,Inspiron 5567,Notebook,638.99
134,Dell,Inspiron 3567,Notebook,449.0
136,Acer,Aspire A515-51G-37JS,Notebook,572.0
137,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,598.0
138,HP,Probook 440,Notebook,988.0
139,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,252.36
141,Lenovo,IdeaPad 320-15IKBN,Notebook,499.0
142,HP,Envy 13-AD007nv,Notebook,699.0
143,Acer,Aspire 5,Notebook,655.0
144,Lenovo,ThinkPad E480,Notebook,1116.02
146,Toshiba,Satellite Pro,Notebook,602.0
147,HP,255 G6,Notebook,369.0
150,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,344.0
152,Acer,Aspire A315-51,Notebook,447.0
155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,498.0
158,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,619.0
163,Toshiba,Satellite Pro,Notebook,447.0
164,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,403.0
165,Acer,Aspire A517-51G,Notebook,805.0
166,Dell,Inspiron 3576,Notebook,728.0
168,Acer,Aspire A315-31,Notebook,348.0
170,Acer,Aspire 3,Notebook,363.51
172,Acer,Aspire A517-51G,Notebook,854.0
173,HP,ProBook 430,Notebook,754.0
175,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,699.0
176,Lenovo,IdeaPad 320-15AST,Notebook,309.0
177,Toshiba,Satellite Pro,Notebook,489.0
178,HP,ProBook 470,Notebook,923.0
179,Dell,Inspiron 3567,Notebook,459.0
180,Acer,Aspire A315-51,Notebook,449.0
182,Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,813.0
184,Dell,Inspiron 5570,Notebook,1049.0
187,Toshiba,Satellite Pro,Notebook,793.0
188,Xiaomi,Mi Notebook,Notebook,1199.0
189,Dell,Inspiron 7773,Notebook,1549.0
190,Dell,XPS 15,Notebook,2397.0
193,Dell,Inspiron 5770,Notebook,1085.0
195,Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,260.0
197,Lenovo,IdeaPad 320-17IKBR,Notebook,698.0
199,HP,ProBook 470,Notebook,914.0
201,HP,ProBook 430,Notebook,959.0
