Id,Company,Product,TypeName,Price_euros
1,Apple,MacBook Pro,Ultrabook,1339.69
2,Apple,Macbook Air,Ultrabook,898.94
4,Apple,MacBook Pro,Ultrabook,2537.45
5,Apple,MacBook Pro,Ultrabook,1803.6
7,Apple,MacBook Pro,Ultrabook,2139.97
8,Apple,Macbook Air,Ultrabook,1158.7
9,Asus,ZenBook UX430UN,Ultrabook,1495.0
10,Acer,Swift 3,Ultrabook,770.0
13,Apple,MacBook Pro,Ultrabook,2439.97
15,Apple,"MacBook 12""",Ultrabook,1262.4
16,Apple,MacBook Pro,Ultrabook,1518.55
18,Apple,MacBook Pro,Ultrabook,2858.0
20,Dell,XPS 13,Ultrabook,979.0
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,659.0
27,Apple,MacBook Air,Ultrabook,1099.0
29,Dell,Latitude 5590,Ultrabook,1298.0
34,Dell,XPS 13,Ultrabook,1869.0
35,Apple,MacBook Air,Ultrabook,998.0
46,Apple,MacBook Pro,Ultrabook,1419.0
62,Dell,Vostro 5471,Ultrabook,879.0
67,Asus,ZenBook Pro,Ultrabook,1983.0
72,Microsoft,Surface Laptop,Ultrabook,1089.0
73,Dell,Inspiron 5370,Ultrabook,955.0
82,Dell,Latitude 5590,Ultrabook,1096.16
83,Apple,"MacBook 12""",Ultrabook,1510.0
88,HP,Pavilion 15-CK000nv,Ultrabook,699.0
91,Dell,XPS 13,Ultrabook,1649.0
96,Asus,Zenbook UX430UA,Ultrabook,1049.0
106,HP,Envy 13-ad009n,Ultrabook,1119.0
107,Microsoft,Surface Laptop,Ultrabook,1340.0
110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,1193.0
113,Asus,VivoBook S15,Ultrabook,1262.0
114,Dell,XPS 13,Ultrabook,1379.0
117,Dell,XPS 13,Ultrabook,1629.0
135,Acer,Swift 3,Ultrabook,884.0
148,Asus,ZenBook UX430UA,Ultrabook,1099.0
149,HP,EliteBook Folio,Ultrabook,2014.0
157,HP,EliteBook 840,Ultrabook,1082.0
174,Huawei,MateBook X,Ultrabook,1349.0
185,Dell,XPS 13,Ultrabook,1399.0
192,Acer,Swift 7,Ultrabook,989.0
196,Xiaomi,Mi Notebook,Ultrabook,999.9
